Message,Severity,Explanation,Recommended Action
"APF-3-AID_UPDATE_FAILED: ""Error updating Association ID for REAP AP Client%02x:%02x:%02x:%02x:%02x:%02x - AID %u""",3-Error,Failed to update Association ID for REAP AP client.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-APF_CHANNEL_CHANGE: ""Client deletion failed. Clt mac:%02x:%02x:%02x:%02x:%02x:%02x Channel Change Occured. Spectrum Mgmt bit set.""",3-Error,Client deletion failed due to Channel change and Spectrum mgmt bit set.,Need to delete the client manually.
"APF-3-APF_CLIENT_ENTRY_NOT_FOUND_MSCB: "" Client %02x:%02x:%02x:%02x:%02x:%02x entry present in AID list but not in mscb""",3-Error,Client entry present in AID list maintain per AP but client entry not present in mscb,Standard Recommended Action
"APF-3-APF_CMD_ERROR: ""Invalid management frame received in FT Request: %d for client %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Invalid management frame received from client. We expect the client to send either APF_CMD_ACTION,No action is required
"APF-3-APF_DEL_CLIENT_FAILED: ""Client del failed: rscb:%02x:%02x:%02x:%02x:%02x:%02x [%d] for Client %02x:%02x:%02x:%02x:%02x:%02x AP mac:%02x:%02x:%02x:%02x:%02x:%02x[%d]""",3-Error,The AP slot MAC address comparison with the mscb stored AP MAC Addr fails.Resulting in client entry not being deleted. ,Need to delete the client manually.
"APF-3-APF_MESH_CHILD_MARKED_DELETION: ""Child MAP %02x:%02x:%02x:%02x:%02x:%02x has marked for deletion.Overwrite the deletion state to avoid MAP stranding.""",3-Error,This Child MAP has marked for deletion wrongly in mscb and so overwriting it to avaoid MAP stranding ,Standard Recommended Action
APF-3-APF_NO_SUPPORT_WPA2_TKIP: MSG_SECURITY,3-Error,The use of WPA2 TKIP cipher on the WLAN is deprecated in order to comply the Wi-Fi Alliance security requirements.,No action is required
"APF-3-APF_QUEUE_FAIL: ""Unable to Queue the msg for deletion Clt mac:%02x:%02x:%02x:%02x:%02x:%02x """,3-Error,Client to be Queued for deletion. The message is failing to be Queued.Resulting in client entry not being deleted. ,Need to delete the client manually.
"APF-3-APF_SITE_WLAN_ENABLE_FAILS: ""enabling WLANs failed for AP %s""",3-Error,enabling the WLANs on the AP failed.,delete and re-create the AP group
"APF-3-APF_VLAN_NOT_APPLIED: ""Unable to apply vlan",3-Error,Local Policy VLAN Application not supported for this trigger.,Standard Recommended Action
"APF-3-APF_WIRED_CLIENT_EXCLUDED: ""%s: Found WGB wired client %02x:%02x:%02x:%02x:%02x:%02x in blacklist!""",3-Error,WGB Wired client found to be configured in exclusion list. Exclusion is not supported for WGB wired clients,Remove wired client exclusion list config.
APF-3-APF_WIRED_GUEST_EXCLUDED_CLIENT: MSG_SECURITY,3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-APPLY_ACL_INVALID_POLICY: ""Could not Apply ACL Policy. Policy name: %s. %s.""",3-Error,ACL policy name is not valid IPv4/IPv6 policy.,Please check ACL name matches withthe configured IPv4/IPv6 name on WLC
"APF-3-APPLY_ACL_INVALID_POLICY: Could not Apply ACL Policy. Policy name: %s. %s.""",3-Error,ACL policy name is not valid IPv4/IPv6 policy.,Please check ACL name matches withthe configured IPv4/IPv6 name on WLC
"APF-3-APPLY_ACL_POLICY_FAILED: ""Could not Apply ACL Policy. %s. """,3-Error,ACL policy can not be exceed 32 characters in length. ,Please specify ACL Policy upto 32 characters in length.
APF-3-APPLY_AVC_INVALID_POLICY: MSG_TRACEBACK,3-Error,AVC policy name is not valid.,Please check AVC name matches withthe configured AVC profile name on WLC
APF-3-APPLY_AVC_VISIBILITY_NOT_SET: MSG_TRACEBACK,3-Error,WLAN with the AVC policy name does not have AVC Visibility Set,Please check if AVC Visibility set on WLAN where the AVC Profile is configured
"APF-3-APPLY_BONJ_POLICY_FAILED: ""Could not Apply Bonjour Policy. %s. """,3-Error,Bonjour policy can not be exceed 32 characters in length. ,Please specify Bonjour Policy upto 32 characters in length.
"APF-3-APPLY_OVERRIDE_FAILED: ""Could not Apply Override. %s.Mobile:%02x:%02x:%02x:%02x:%02x:%02x",3-Error,Could not apply wlan policy. Either the associating wlan was deleted or disabled.,Please check the status of associating WLAN.
"APF-3-ASSLEN_DIFF_FROM_REASSLEN: ""Association WPA/RSN IE length %d is different from Reassociation IE length %d""",3-Error,WPA/RSN IE length in Reassociation request is different from WPA/RSN IE length in Association request.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
APF-3-ASSOC_FAIL_TRAP: MSG_SECURITY,3-Error,Send Association Failure Trap,Assoc fail recommended actions
"APF-3-ASSOC_REQ_FAILED: ""Ignoring 802.11 assoc request from mobile %02x:%02x:%02x:%02x:%02x:%02x Since Dot11Radio %d is not Enabled for AP:%s MAC:%02x:%02x:%02x:%02x:%02x:%02x""",3-Error,radio slot disabled in WLC but enabled in AP,Standard Recommended Action
APF-3-ASSOC_TRAP: MSG_SECURITY,3-Error,Send Association Trap,ASSOC recommended actions
"APF-3-ASSOCREQ: %s""",3-Error,The validation of the capability field from an Association Request failed.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
APF-3-AUTH_FAIL_TRAP: MSG_SECURITY,3-Error,Send Deauthentication Failure Trap,Deauth Failure recommended actions
APF-3-AUTHENTICATION_TRAP: MSG_SECURITY,3-Error,Send Authenticated Success Trap,Authenticated Success recommended actions
APF-3-AUTHMSG_SEND_FAILED: MSG_TRACEBACK,3-Error,Unable to send an authentication message to a station.,Standard Recommended Action
"APF-3-AUTO_CONT_NOT_SUPPORTED: ""Auto-containment of %s is not supported. Disabling.""",3-Error,This msg can be result of data validation done after migration of data to newer software version.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
APF-3-AUTO_ENABLE_DOT1XAKM: MSG_SECURITY,3-Error,If no Authentication Key Management is selected then  802.1x AKM selected as a default for WLAN.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-BUILD_NETNAME_FAILED: ""Could not build valid network name -- using default""",3-Error,"Could not build valid network name,No action is required.
APF-3-CCKM_CREATE_PTSKA_FAILED: MSG_TRACEBACK,3-Error,Could not generate PTK. Invalid unicast encryption policy for mobile station""",The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-CHECK_EXT_SUPP_RATES_FAILED: ""Could not check extended supported rates. %s. Length :%d. Mobile MAC: %02x:%02x:%02x:%02x:%02x:%02x.""",3-Error,Could not check extended supported rates. Verify data rate on client for 11g radio.,No action is required
"APF-3-CHECK_SUPP_RATES_FAILED: ""Could not check supported rates. %s. Length :%d. Mobile MAC: %02x:%02x:%02x:%02x:%02x:%02x.""",3-Error,Could not check supported rates. Verify data rate on client for a/b radio.,No action is required
"APF-3-CLEAR_TKN_TABLE_ENTRY_FAILED: ""Trying to clean an empty token entry %d!.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-CLIENT_NO_ACCESS: ""Authentication failed for client: %02x:%02x:%02x:%02x:%02x:%02x. ACL override mismatch from AAA server.""",3-Error,The client will be de-authenticated when ACL mismatch occurs. ,ACL config needs to be changed either on WLC or AAA server.
"APF-3-CONVERT_HEX_KEY_FAILED: ""Could not convert Hex Key into Binary data. %s.""",3-Error,LOG_EXPL_SYSERR,Please re-specify WEP Hex Key.
"APF-3-CREATE_CCKM_REASS_RESPONSE_IE_FAILED: ""Could not build the CCKM Reassociation response IE.%s. Mobile: %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Could not build the CCKM Reassociation response IE.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-CREATE_DOT11i_IE_FAILED: ""Could not create DOT11i Info element. %s for Wlan Id: %d""",3-Error,Unable to create DOT11i Info element due to invalid cipher selection on WLAN.,The cipher suite for WLAN should be TKIP.
"APF-3-CREATE_KCID_INFO_ELEMENT_FAILED: ""Could not create the KC-ID information element. %s.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
APF-3-CREATE_OVERRIDE_FAILED: MSG_TRACEBACK,3-Error,Could not Create Override.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-CREATE_SITE_WITH_NAME_FAILED: ""Cannot create site with reserved name '%s'""",3-Error,Illegal name for new site.,Re-specify name of new site.
"APF-3-CREATE_VLAN_IP_INTERFACE_FAILED: ""Could not create a virtual IP interface for VLAN.%s.""",3-Error,Could not create a virtual IP interface for VLAN due to config data conflict.,Check other WLANs and port config data.
"APF-3-CREATE_WARP_ADV_IE_FAILED: ""Unable to create WARP ADVERTISEMENT IE""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-CREATE_WARP_M_KCID_IE_FAILED: ""Unable to create WARP M-KCID IE""",3-Error,Unable to create WARP M-KCID IE.,Standard Recommended Action
"APF-3-DB_LOCK_FAILED: ""Couldn't get exclusive access to the fabric database. %s.""",3-Error,"All fabric configs are placed in the fabric database. To change any fields in the fabric,Try again",
"APF-3-DB_UNLOCK_FAILED: ""Couldn't release exclusive access on the Fabric database. %s.""",3-Error,Releasing the Fabric Table semaphore torelinquish the exclusive access has failed.,Reset the controller.
APF-3-DEAUTH_TRAP: MSG_SECURITY,3-Error,Send Deauthentication Trap,Deauth recommended actions
"APF-3-DISABLE_UNSUPPORTED_FEATURE: ""Feature: %s found enabled",3-Error,A particular feature was found enabled,Standard Recommended Action
"APF-3-DISABLE_WLAN_FAILED: Unable to disable WLAN %d due to error %d""",3-Error,Unable to disable WLAN.,Standard Recommended Action
APF-3-DISASSOC_TRAP: MSG_SECURITY,3-Error,Send Disassociation Trap,Disassoc recommended actions
"APF-3-DOT11_AUTH_MODE_SET_FAILED: ""Could not set the 802.11 authentication mode. %s. Mode: %d WLAN:%.*s.""",3-Error,Could not set the 802.11 authentication mode.,Standard Recommended Action
"APF-3-ENABLE_WLAN_FAILED: ""Unable to enable WLAN %d due to error %d""",3-Error,Unable to enable WLAN.,Standard Recommended Action
"APF-3-ENCRYPTPOLICY_NOT_FOUND: ""Unable to find Encryption Policy for Mobile: %02x:%02x:%02x:%02x:%02x:%02x. Traffic Type:%s",3-Error,Unable to find Encryption Policy for a particular mobile station entry.,Standard Recommended Action
APF-3-EXCLUSION_TRAP: MSG_SECURITY,3-Error,Send Exclusion Trap,Exclusion recommended actions
"APF-3-FIND_INTERFACE_BY_NAME_FAILED: ""Failed to find interface name - %s""",3-Error,Failed to find interface by the given name,Standard Recommended Action
"APF-3-FIND_INTERFACE_GROUP_BY_NAME_FAILED: ""Failed to find interface group name - %s""",3-Error,Failed to find interface group by the given name,Try creating the interface group again manually.
"APF-3-FIND_MCAST_INTERFACE_BY_ID_FAILED: ""Failed to find WLAN multicast interface by interface id - %d""",3-Error,Multicast interface mapped to the interface-id stored in datbase doesn't exists,1.Please check whether the interface chosen as multicast interface for wlan exists2.Use the CLI 'show wlan <WLAN id> ' to find the multicast interface for the wlan 3.Use the CLI 'show interface summary' to check whether the interface exists4.If the interface doesn't exists enable multicast feature and select a valid interface 5.If the interface exist raise a case with TAC with outputs of the CLIs mentioned above
"APF-3-FT_8011X_REQ_REJECT: ""Received 802.11r FT key management suite",3-Error,"Received 802.11r FT key management suite,Configre the wlan with ft AKM suite using the CLI: 'config wlan security wpa akm ft <802.1X | psk> <wlan-id>'""",Standard Recommended Action
"APF-3-FT_FRAME_PARSE_ERROR: ""Not able to parse FT Action frame's IEs for client %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Not able to parse FT Action frame's IEs,No action is required
"APF-3-FT_INVALID_BUF_LEN: ""Cannot include %s in FTIE for Initial Assoc Response due to insufficient buffer length",3-Error,Cannot include KH-ID in FTIE for Initial Assoc Response due to insufficient buffer length for client. Try associating the client again.,No action is required
"APF-3-FT_PLUMBBACK_CLIENT_NOT_VALID: ""Plumb back client not valid.ClientType=%d apfMsEntryType=%d vapId=%d Session Timeout=%d slotId=%d APMac = %02x:%02x:%02x:%02x:%02x:%02x ClientMac=%02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Plumb back Client from the AP to the controller is not valid.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
APF-3-FT_PREAUTH_ADDITION_FAILED: MSG_TRACEBACK,3-Error,FT Preauth entry addition failed.,No action is required
APF-3-FT_PREAUTH_DELETION_FAILED: MSG_TRACEBACK,3-Error,FT Preauth entry deletion failed.,No action is required
"APF-3-GET_CURR_RSSI_FAILED: ""Could not get most recent RSSI and its timestamp. %s.""",3-Error,Could not get most recent RSSI and its timestamp.,Standard Recommended Action
"APF-3-GET_MULTI_ENC_POL_FAILED: ""Could not Get Multicast Encryption Policy. %s.WPA2:%d.""",3-Error,Could not Get Multicast Encryption Policy.,Standard Recommended Action
"APF-3-GET_SECURITY_POLICY_FAILED: ""Could not get security policy. %s. WLAN: %.*s""",3-Error,Could not get security policy.,Standard Recommended Action
"APF-3-GET_TKN_BKT_FAILED: ""Could not get Token Bucket Entry. %s.""",3-Error,Could not get Token Bucket Entry.,Standard Recommended Action
"APF-3-GUEST_INIT_FAILED: ""Could not Create %s""",3-Error,Wired Guest Init failed.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-GUEST_MEM_ALLOC_FAILED: ""Memory allocation failed""",3-Error,Memory allocation failed in wired guest.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-INTF_MASK_NOT_FOUND_ON_MSCB: ""Could not find interface netmask in client database for client %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Interface netmask is required for IP address validation. Those validations will be mssing from these client IP addresses.,Standard Recommended Action
APF-3-INVALID_CAC: MSG_TRACEBACK,3-Error,Invalid Admission control is specified for a station.,Standard Recommended Action
APF-3-INVALID_CONF_CHANNEL: MSG_TRACEBACK,3-Error,Invalid configured channel on AP.,Standard Recommended Action
APF-3-INVALID_DOT11_ENCRPT_MODE: MSG_TRACEBACK,3-Error,Invalid 802.11 encryption mode is provided for WLAN.,Standard Recommended Action
"APF-3-INVALID_ENCRYPT_POLICY: ""Invalid Encryption Policy",3-Error,Invalid Encryption Policy is set for WLAN. ,Standard Recommended Action
"APF-3-INVALID_FT_ACTION_CODE: ""Wrong action code",3-Error,Invalid action code received from client. Client is expected to send APF_FT_ACTION_CODE_FT_REQ as the action code.,No action is required
APF-3-INVALID_FT_ACTION_TYPE: Wrong action type,3-Error,Invalid action type received from client. Client is expected to send APF_FT_ACTION_CATEGORY_CODE as the action type.,No action is required
"APF-3-INVALID_FT_REQUEST: ""Invalid target AP %02x:%02x:%02x:%02x:%02x:%02x requested by the client %02x:%02x:%02x:%02x:%02x:%02x in FT request.""",3-Error,Invalid target AP requested by the client in FT request. Client should send authentication request to valid AP.,No action is required
APF-3-INVALID_INET: MSG_TRACEBACK,3-Error,The packet is discarded because Inet address is invalid or zero.,Standard Recommended Action
APF-3-INVALID_IP: MSG_TRACEBACK,3-Error,The packet is discarded because IP address of AP is invalid or zero.,Standard Recommended Action
APF-3-INVALID_IP_TYPE: MSG_SECURITY | MSG_TRACEBACK,3-Error,Could not add IP address to Client Entry.,Standard Recommended Action
"APF-3-INVALID_MAC_FILTER_DMTR_SETTING: ""Invalid MAC filter delimiter setting for mobile %02x:%02x:%02x:%02x:%02x:%02x """,3-Error,Invalid MAC filter delimiter is set for mobile.,Verify the MAC filter delimiter set for mobile should be either none
APF-3-INVALID_MCAST_MODE: MSG_TRACEBACK,3-Error,The packet is discarded because capwap multicast mode is unicast.,Standard Recommended Action
APF-3-INVALID_MCAST_MODE_ADDR: MSG_TRACEBACK,3-Error,The packet is discarded because capwap multicast mode is multicast and ipv6 address is not configured.,Please configure capwap multicast ipv6 address using 'config ipv6 multicast mode multicast <multicast ipv6 addr>.' command.
"APF-3-INVALID_R0R1KHID: ""Invalid %s while creating FTIE for client %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Invalid KH-ID found on controller while creating FTIE in Association Response. Check whether controller management IP,No action is required
"APF-3-INVALID_RADIO_TYPE: ""Invalid radio type %d received.""",3-Error,Invalid radio type is received.,This is a debug message only. No action is required.
"APF-3-INVALID_SEC_BIT: ""Invalid security bit 0x%08x provided for WLAN %.*s""",3-Error,Invalid security bit is provided for WLAN.,This is a debug message only. No action is required.
"APF-3-INVALID_SEC_POL: ""Invalid Security Policy %08x",3-Error,Invalid Security Policy.,Standard Recommended Action
"APF-3-IPC_RCV_TASK_ERROR: ""Error in IPC receive task: %s.""",3-Error,Received a corrupted HTTP packet.,Standard Recommended Action
"APF-3-LIST_ERR: ""%s""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
APF-3-LIST_MAX_IDX_ERR: Unable to delete client entry,3-Error,Unable to delete entry in client table due to an internal error.,Standard Recommended Action
"APF-3-LOAD_CONF_FAILED: ""Fabric config is corrupted. Resetting Fabric config to default.""",3-Error,The configuration file is corrupted.,Reset the controller and re-configure the fabric.
"APF-3-LOCALHANDOFF: ""%s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-MAKE_CHANGE_DOT11A_FAILED: ""Attempting to make changes to 802.11a while active.""",3-Error,Attempting to make changes to 802.11a while active.,Standard Recommended Action
"APF-3-MAKE_CHANGE_DOT11B_FAILED: ""Attempting to make changes to 802.11b while active.""",3-Error,Attempting to make changes to 802.11b while active.,Standard Recommended Action
APF-3-MOB_EOGRE_HANDOFF_FAIL: MSG_SECURITY,3-Error,EoGRE Mobility failed because of mismatch between Mobility Handoff and Local Config. Client is getting Deauthenticated.,Standard Recommended Action
"APF-3-MOBILE_NOT_DOING_CCKM: Mobile entry in cache is not doing CCKM %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Mobile entry in cache is not doing CCKM.,Standard Recommended Action
"APF-3-MS_AID_LEAK_DETECTED: ""AID leak %s on Mobile station %02x:%02x:%02x:%02x:%02x:%02x on AP%02x:%02x:%02x:%02x:%02x:%02x",3-Error,AID leak detected on the MS.,Standard Recommended Action
"APF-3-MSCB_DB_IDX_INVALID: ""Client internal database is corrupted. %d index is invalid""",3-Error,Client internal database is corrupted.,Standard Recommended Action
APF-3-MSCB_DEL_FAILED: MSG_TRACEBACK,3-Error,Unable to delete the MSCB entry from list.,Standard Recommended Action
"APF-3-MSGFAC: ""State change received for an unsupported radio type.""",3-Error,State change received for an unsupported radio type.,Standard Recommended Action
APF-3-NO_FRAMED_IP_ADDRESS: MSG_TRACEBACK,3-Error,Tracked for no Framed-IP-Address.,Standard Recommended Action
APF-3-PDU_ENCAP_FAILED: MSG_TRACEBACK,3-Error,Failed to encapsulate a PDU for transmission to station.,Standard Recommended Action
"APF-3-PREAUTH_ENTRY_NOT_FOUND: ""PreAuth entry is not found for client %02x:%02x:%02x:%02x:%02x:%02x while processing FT Reassociation request.""",3-Error,Preauth Entry is not found while processing FT Reassociation request. The PMK Cache needs to contain this information for Fast transition to occur.,No action is required
"APF-3-PREAUTH_FAILURE: "" There is no PMK cache entry for client%02x:%02x:%02x:%02x:%02x:%02x. Can't do preauth""",3-Error,No PMK cache entry for the client. Hence cannot do preauth. Client will associate after performing full authentication. ,No action is required
"APF-3-PROBEREQ_PARSE_FAILED: ""Error parsing Probe Request from STA%02x:%02x:%02x:%02x:%02x:%02x -- %s=%u",3-Error,Error parsing Probe Request from STA.,No action is required
APF-3-PROC_WAPI_IE_FAILED: MSG_SECURITY,3-Error,Could not process the WAPI information element from the mobile station,Standard Recommended Action
"APF-3-PUT_CHANGE_ON_QUEUE_FAILED: ""Could not put link state changes on the queue. %s.""",3-Error,Could not put link state changes on the queue.,Standard Recommended Action
"APF-3-PWR_TRAP_SEND_FAILURE: ""Could not send trap for power change event on AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-QOSLOAD_DEL_FAILED: ""Unable to remove AP %02x:%02x:%02x:%02x:%02x:%02x",3-Error,Unable to remove AP from QOS load.,Standard Recommended Action
"APF-3-RACB_DB_IDX_INVALID: Rogue Ap internal database is corrupted. %d index is invalid""",3-Error,Rogue Ap internal database is corrupted.,Standard Recommended Action
"APF-3-RACCB_DB_IDX_INVALID: ""Rogue Client internal database is corrupted. %d index is invalid""",3-Error,Rogue Client internal database is corrupted.,Standard Recommended Action
"APF-3-RCB_AID_FAILED: ""Unable to create AID Entry for AP %02X:%02X:%02X:%02X:%02X:%02X apfMsAssociationId %d mscb->apfMsAssociationId %d .""",3-Error,Unable to create AID Entry.,No action is required
"APF-3-RCV_HTTP_CORRUPT_PKT: ""Received a corrupted HTTP packet: trailer in packet %d.""",3-Error,Received a corrupted HTTP packet.,Standard Recommended Action
"APF-3-RCV_INVALID_AP_STATE: ""Received an invalid state for AP%02x:%02x:%02x:%02x:%02x:%02x slot %d""",3-Error,Received an invalid state for AP.,Standard Recommended Action
"APF-3-RCV_UNSUPP_MSG: ""Rogue Task: Received unsupported message %d.""",3-Error,Rogue Task: Received an unsupported message.,Standard Recommended Action
APF-3-RCV_UNSUPPORTED_MES: MSG_TRACEBACK,3-Error,Received an unsupported message.,Standard Recommended Action
"APF-3-REG_STATE_CHANGE_FAILED: ""%s for AP: %s""",3-Error,AP State Change registration is failing.,Reboot this AP.
"APF-3-ROGUE_AP_STAT_COUNTER_INVALID: ""Rogue Ap internal stats is corrupted. %d %d %d %d %d %d %d""",3-Error,Rogue Ap internal stats is corrupted.,Standard Recommended Action
"APF-3-ROGUE_CLIENT_STAT_COUNTER_INVALID: ""Rogue Client internal stats is corrupted. %d field is invalid""",3-Error,Rogue Client internal stats is corrupted.,Standard Recommended Action
"APF-3-RSN_COUNT_MISMATCH: ""PMKR0Name mismatch seen in FT Auth Request for client %02x:%02x:%02x:%02x:%02x:%02x. Number of RSN PMKIDs: %d""",3-Error,PMKR0Name mismatch seen in FT Auth Request for the client. Only one PMKID is expected in this RSNIE.,No action is required
"APF-3-RSN_NOT_PRESENT: ""RSNIE not found in FT Action request framefor client %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,RSNIE not found in FT Action request frame. This is a mandatory IE when WPA2 is enabled.,No action is required
"APF-3-SELECT_INTERFACE_FROM_INTERFACE_GROUP_FAILED: ""Failed to select interface from interface group - %s""",3-Error,Failed to select interface from interface group,Standard Recommended Action
APF-3-SEND_ASSOC_REQ_FAILED: MSG_SECURITY,3-Error,Could not send a Association request.,Standard Recommended Action
"APF-3-SEND_IGMP_QUERY_FAILED: ""Failed to send IGMP Query for roamed mobile %02x:%02x:%02x:%02x:%02x:%02x.""",3-Error,A mobile can roam across subnets while listening to a multicast stream. When it roams across WLCs the multicast traffic has to reach the WLC the mobile is attached to. This is achieved by the WLC sends an IGMP Query towards the mobile. The WLC failed to send this IGMP Query.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-SEND_MLD_QUERY_FAILED: ""Failed to send MLD Query for roamed mobile %02x:%02x:%02x:%02x:%02x:%02x.""",3-Error,A mobile can roam across subnets while listening to a multicast stream. When it roams across WLCs the multicast traffic has to reach the WLC the mobile is attached to. This is achieved by the WLC by sending an MLD Query towards the mobile. The WLC failed to send this MLD Query.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"APF-3-SET_AUTH_KEY_MGMT_MODE_FAILED: ""Could not set the WPA/WPA2 auth key management mode.%s. Siute:",3-Error,Could not set the WPA/WPA2 auth key management mode.,Standard Recommended Action
"APF-3-SET_DOT11A_RATE_FAILED: ""Could not set the 802.11a operational rate. %s.""",3-Error,Could not set the 802.11a operational rate.,Standard Recommended Action
"APF-3-SET_DOT11B_RATE_FAILED: ""Could not set the 802.11b operational rate. %s.""",3-Error,Could not set the 802.11b operational rate.,Verify the operational rate.
"APF-3-SET_DOT11g_SUPP_FAILED: Could not set the 802.11g support. %s.""",3-Error,Could not set the 802.11g support.,Please change the configuration
APF-3-SET_FAST_ROAM_FAILED: MSG_TRACEBACK,3-Error,Attempting to enable fast-roaming while Pico-Cell mode is enabled!,Disable Pico-Cell mode
"APF-3-SET_MSCB_MIRROR_FAILED: Unable to set mirroring for MSCB.""",3-Error,Unable to set mirroring for MSCB.,Standard Recommended Action
"APF-3-SET_OSEN_ENABLE_FAILED: ""Could not Enable the OSEN IE. %s. Mode:%d. WLAN:%.*s.""",3-Error,Could not Enable the OSEN IE.,No action is required
APF-3-SET_PICO_CELL_FAILED: MSG_TRACEBACK,3-Error,Attempting to enable pico-cell while it is enabled.,Standard Recommended Action
APF-3-SET_PICO_CELLV2_FAILED: MSG_TRACEBACK,3-Error,Attempting to enable pico-cell-V2 while it is enabled.,Standard Recommended Action
"APF-3-SET_RSN_ENABLE_FAILED: Could not Enable the RSN IE. %s.Mode: %d.WLAN:%.*s.""",3-Error,Could not Enable the RSN IE.,No action is required
"APF-3-SET_SSN_ENABLE_FAILED: ""Could not Enable the SSN IE. %s. Mode:%d. WLAN:%.*s.""",3-Error,Could not Enable the SSN IE.,Standard Recommended Action
"APF-3-SET_VAP_SECURITY_POL_WORD_FAILED: ""Error Setting Security Policy Bit 0x%08x",3-Error,Error occurs while Setting Security Policy Bit.,Standard Recommended Action
"APF-3-SET_VAP_STATUS_FAILED: ""Could not Set the Status of Virtual Access point Entry.%s.Static WEP:%u.Dynamic WEP:%u. WLAN:'%.*s'""",3-Error,Could not Set the Status of Virtual Access point Entry.,Standard Recommended Action
"APF-3-SET_VPN_AH_MODE_FAILED: ""Could not set the mode: %d. %s.""",3-Error,Could not set the VPN AH mode.,Standard Recommended Action
"APF-3-SET_VPN_AUTH_MODE_FAILED: ""Could not set the VPN authentication mode. %s.Mode:%d. WLAN: %.*s.""",3-Error,Could not set the VPN authentication mode.,Please re-specify the VPN authentication mode.
"APF-3-SET_VPN_ENC_MODE_FAILED: ""Could not set the VPN Encryption Mode. %s.Mode: %d.WLAN:%.*s.""",3-Error,Could not set the VPN Encryption Mode.,Please re-specify the VPN Encryption Mode.
"APF-3-SET_VPN_IKE_PFS_MODE_FAILED: ""Could not set the VPN IKE PFS mode. %s.""",3-Error,Could not set the VPN IKE PFS mode.,Standard Recommended Action
"APF-3-SET_VPN_IKE_PHASE1_MODE_FAILEED: MSG_TRACEBACK: Could not set the VPN IKE Phase1 mode.""",3-Error,Please check reason,Standard Recommended Action
"APF-3-SET_VPN_IKE_SHAREDKEY_FAILED: ""Could not set the VPN IKE Pre-shared Key. %s.Length: %d. WLAN: %.*s.""",3-Error,Could not set the VPN IKE Pre-shared Key. Key length can not be more than 128.,Please re-specify Key.
"APF-3-SET_WAPI_ENABLE_FAILED: ""Could not Enable the WAPI IE. %s.Mode: %d.WLAN:%.*s.""",3-Error,Could not Enable the WAPI IE.,Standard Recommended Action
"APF-3-SET_WLAN_PMIP_ENABLE_FAILED: ""PMIPv6 is not supported as DHCP Proxy is disabled for WLAN with PMIPv6 ENABLED.%s Wlan:%.*s.""",3-Error,PMIPv6 is not supported as dhcp_proxy is disabled .,No action is required
"APF-3-SET_WPA_ENC_MODE_FAILED: ""Could not set the WPA encryption mode. %s. Mode:%d. WLAN: %.*s.""",3-Error,Could not set the WPA encryption mode.,Standard Recommended Action
"APF-3-SET_WPA2_ENC_MODE_FAILED: ""Could not set the WPA2 encryption mode. %s.Mode:%d. WLAN: %.*s.""",3-Error,Could not set the WPA2 encryption mode.,Standard Recommended Action
"APF-3-SITE_DELETE_FAILED: ""Site entry %s could not be deleted from database.""",3-Error,A particular site entry could not be deleted from database.,No action is required
"APF-3-SITE_FAILURE: ""Cannot find apgroup %s""",3-Error,Cannot find database for apgroup.,delete and re-create the AP group
